Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text,
933,1032,,WK 5073/942,Orphan Chamber,1607/09/15,[anonymous],Amsterdam,14,Nederland,14 |d  9 st.,636 |d  13 st.,,,,goods sold at request of Bely Jans,[anonymous],Gerrit Jacobsz.,,auction,,In Amsterdam,"The net proceeds of the auction were collected by Hendrick Jansz., the brother of Bely Jans.",Op den 15en september 1607 syn ten versoecke van Bely Jans vercoft de naervolgende goederen. Postscript: Quitans hiervan vertoont de cedel onderteyckent by Hendrick Jansz. in date den 15en november 1607. Hendrick Jansz. soude sijn de broeder van  Bely Jans.,
934,761,,WK 5073/942,Orphan Chamber,1608/04/18,Hendricx,Amsterdam,15,Nederland,188 |d  4 st. 8 pen.,1053 |d  6 st.,?|d 1608/01/12,,,,"Hendricx, Mary",Gerrit Jacobsz.,,auction,Reformed,By St. Jansbrug op de Voorburgwal in Amsterdam,"That the owner of the goods sold was Mary Hendricx, widow of the grain merchant Gerrit Jansz. Coesvelt, who died in 1578, is suggested by the date of her death (she was buried on 12 January 1608) and by the fact that Claes Reyniersz., who was one of the executors of her testament (see the INTRO of INVNO 538, her earlier inventory of 22 June 1607) was also the person who received the net proceeds of the sale (presumably on behalf of the orphan heirs). The late Mary Hendrix was the daughter of Hendrick Pauwelsz., Heer van der Does, cloth merchant,  born in Jisp circa 1495, who died in Amsterdam and was buried on 3 February 1561. Her mother was Stijn Allerts Boelens. She was the sister of Dirck Hendricksz. Boelens, who in turn was the father of Hendrick Dircksz. Boelens, living in de Vogelstruys on the Singel, of R 31402 of Montias2,  who bought lots in the present sale.  An unusual feature of the accounting of this sale is that the clerk provided a breakdown of the auction expenses. The gross proceeds of the sale came to 1118 f. 17 st. The 5 percent salaris of the bode amounted to 56 f.; the expense of setting up the sale (oplegging), 8 f.; the table and the announcement (taeffel ende omroepen), 14 st.; for 11 pages of copy .... 17 st. The net proceeds came to 1053 f. 6 st.",Op den 18 aprilis 1608 zyn ter ordonnantie van de heeren weesmeesteren vercoft de goederen achtergelaten by Mary Hendricx. Postscript: Desen oven gheeschreven penninghen zijn betaelt den 25ste junij aen Claes Reyniersz. als blyckt by sijn quitantije daervan sijnde aen de seel.,
935,1034,,WK 5073/948,Orphan Chamber,1622/07/20,Hendricx,Amsterdam,8,Nederland,27 |d  16 st.,496 |d  15 st.,,,,,"Hendricx, Sijtgen",Gerrit Jacobsz. Haringh,,auction,,Jonckerstraet in Amsterdam,,Op den 20 julij anno 1622 zijn vercocht de naergelaten goederen van Stijntgen Hendricx ende voor gereet gelt mits ... 6 wecken.,
936,1035,,WK 5073/948,Orphan Chamber,1622/10/07,Philips,Amsterdam,7,Nederland,9 |d  12 st.,,,,,,"Philips, Griete",Gerrit Jacbsz.,,auction,,Ten huyse van Gerrit Jacobsz. in Amsterdam,,Op den 7e october 1622 zijn vercocht de goederen van Griete Philips ende dat voor gereet gelt etc...,
937,1036,,"1761, fol. 586",Notarial,1660/07/28,Admirael,Amsterdam,4,Nederland,180 |d ,210 |d ,1606 |d 1662/10/20,1627/08/06; 1647/08/15,K,,"Admirael, Joannes",Jan Quirijn Spitzhoff,Manufacture |a Lime burning; Horticulturist,goods transferred to settle a debt to the deacons of the church in Diemen,,Amsterdam,"Joannes Admirael, presumed to be identical with Jan Hendricksz. Admirael of R 35467 of Montias2, was a witness to the baptism of a child of Christoffel Indische Raven and Elisabeth Gerrits (the daughter of the Bode of the Orphan Chamber Gerrit Jacobsz. Haringh) on 11 April 1648 (DTB 8/118). He bought many prints at Orphan Chamber auctions from 1628 on  but only two lots of  paintings (which were clearly not identical with those in this inventory). For detailed bio-data, see the NOTES to R 35467 of Montias2.","Compareerde voor mijn Jan Quiryn Stpitzhoff notaris Joannes Admirael burger deser stede de welcke verclaerde dat also hij schuldich is aen de Diaconen ofte de kerck van Diemen van den armen wesende de somme van 210 gulden volgende d'obligatie ... ten behoeve van den selve diaconen in qualite voors. gecedeert, getransporteert by forme van coop in vollen eijgendom overgheven als hy doet by desen ses spaensche stoelen met root felp becleet ten pryse van 40 gulden, item van schilderyen d'ene van Blommaert tot 95 gulden d'ander van Pieter Molyn tot 50 gulden ende de laetste een out stuck uijtbeeldende de Bergh van Calvarien tot 20 gulden beneffens noch een teyckening van Heere (?) met de pen gedaen 20 gulden tesamen 210 gulden, alle berustende onder Sr. Paulus Cort (Conte ?) ... Postscript: Aldus gepasseert tot Amsterdam den 28 july 1660 ter presentie van Gysbert van den Lussel ende Barent Jansz. van Texen.",
938,1037,,NA 562A,Notarial,1622/02/15,Jansen,Amsterdam,5,Nederland,,,,,,,"Jansen, Jan (glasemacker)",J. Westfrisius,Artisan |a Glassmaker,death inventory,,In de Angeliersstraet in Amsterdam,"Jan Jansz. glaseschrijver bought a lot of 8 fruit paintings at the Coninxloo sale in 1607 (R 31132 of Montias2). For bio-information about Jan Jansz. glaesschrijver, see R 31132 of Montias2.","Inventoris van den goederen van Jan Jansen glasemacker gelijck sie de selve metter doodt ontruijmt heeft, beschreven ten huyse van den selven Jan Jansen glasemacker gestaen in de Angeliersstraet ter presentie van Claes Cornelisz. vlotschuytvoerder ende Dirck Pietersz. timmerman. Postscript: Aldus gedaen ende geinventariseert ter presentie van Aert Woutersz. ende Carsten Greveraet beijde schoelappers als getuijgen ... opte xv februrary anno 1622.",
939,1038,,"562A, film 6543",Notarial,1625/08/01,Lenaerts,Amsterdam,7,Nederland,13 |d ,,1584 |d 1625  |n Jacob Verpoorten,1614/09/17,K,widow of Jacob Verpoorten,"Lenaerts, Maria",Jacobus Westfrisius,,death inventory,,,"On 17 September 1614, Jacob Verpoorten, from Gorchum, 20 years old, living in Gorchum, assisted by his mother Neeltge Christiaens, was betrothed to Maria Lenerts Karel, 22, daughter of Carel Lenerts (DTB 418/194). The brother of Maria Lenaerts, Dr. Carel Lenaerts de jonge, cited in the INTRO, was  a fiery counter- Remonstrant who was exiled from Amsterdam in 1628. Her cousin Hans Lenaertsz. (also cited in the INTRO) was a merchant in spices. He was the father of Leendert Leendertsz. II  of R 33789 of Montias2. Jacob Verpoorten I may be the father of Jacob Verpoorten II, ironmonger, cited in the NOTES to R 33443 and 35477 of Montias2.","Inventoris van de achtergelaten goederen van Maria Lenaerts weduwe van Jacob Verpoorten gelijck de selve op haren sterfdach [crossed out: bevonden] achtergelaten ende bevonden sijn, beschreven door my Jacobus Westfrisius notaris ... ten versoecke ende overstaen van de E. Carel Lienaertsz. d'oude, Dr. Carel Lienaertsz. de jonge ende Hans Lienaertsz., respective vader, broeder, ende cousijn van de overleden weduwe ende de selve als testamentair vooghden gedeputeert ende gestelt.... Bij Barber Jacobs ende Remerich Teis beide gesworen schatsers getaxeert ... synde als volcht. Postscript: Aller ter goede trouw... 1-2 august 1625.",Barber Jacobs and Remerich Teis (Thijs)
940,1039,,"562B, fol. 5 and foll., film 6543",Notarial,1625/03/11,Guardyn,Amsterdam,43,Nederland,156 |d ,,1591 |d 1626,1623/11/30,K,,"Guardyn, Jan du",Jacobus Westfrisius,,death inventory (goods brought to the marriage owned in common),,Amsterdam,"This inventory records the movable goods brought by Jan du Gardyn to his marriage with Catarina Lambrechx and left at his death. On 30 November 1623, Jean du Gardijn, 32 years of age, living on the Verwersgracht, assisted by his father Martyn du Guardyn, was betrothed to Catarina Lambrechx, 17, assisted by her parents Lambert Lambrechtsz. and Catarina Lamberts (DTB 428/278). For details on the succession, see R 25516 of Montias2. On works of art transferred by Hans le Thoor to Marten du Gardijn, father of Jan du Gardijn, see INVNO 518. On the inventory of the goods left by Polisse Letoir, the wife of Marten du Gardijn (and probably the mother of Jan du Gardijn), see INVNO 366.","Inventaris van den goederen van wylen Jan [crossed out: Hans] du Guardyn [in sulcx voege] als hij de selve staende huwelijck met syn huysvrou Catheryntge Lamberts gepossideert ende metter doodt ontruymt [heeft], beschreven door my Jacob Westfrisius ... ten versoecke van de achtergelaten weduwe ende Martyn du Guardyn vader van de overleden ende door Heindrickien Gerrits ende Aeltge Jacobs Gebeyll gesworen schatsers getaxeert, synde als volcht. Postscript: Aldus geinventariseert ende getaxeert met verclaringe by de weduwe gedaen date desen inventaris is deugdelijck by de voors. weduwe ten overstaen van Abraham Anthonisz. ende Nicolas Cocqu opte 11 martij anno 1625.",
941,1040,,"NA 421, film 6438, fol. 357-8",Notarial,1640/04/25,Renialme,Amsterdam,149,Nederland,2809 |t gulden,,? |d 1657  |n Renialme; 1594 |d 1638  |n Cruypenning,,,"at the request of Lucretia Coymans, widow of Pieter Cruijspenning","Renialme, Johannes de",Jacob Jacobsz.,,unknown,,Probably Keisersgracht (no. 104) in Amsterdam,"Johannes de Renialme, to whom the goods in this inventory appeared to belong, was a well-known art dealer. (For biographical information, see the TEXT of R 100 and the NOTES of R 8201 of Montias2). Pieter Cruijpenning was born in Hamburg who, after during and after his apprenticeship (see below), engaged in trade with Italy, Dantzig and other parts (18 April 1637, NA 598, fol. 174, Not. Lamberti). Lucretia Coymans, the widow of Pieter Cruijpenning, was the youngest daughter of Casper (or Jasper) Coymans of R 31693. Pieter Cruijpenning's father was married to Constantia Coeymans I, the sister of Casper and Balthasar Coeymans. His sister Anna was married to Arnout Cobbaut III (of INVNO 542). Pieter Cruijpenning was 22 when he passed his testament in 1616, in which he stated that he was the heir of Arnout Cobbaut de jonge (III), the son of his sister Anna (see the TEXT of R 448 of Montias2).  On 4 May 1619, David and Abraham Luls, who were said to be the cousins of Pieter Cruijpenninck, and Albert Schuyt (of R 28923), the aunt of whose wife (Constantia de Haze) was Constantia Coeymans I, declared that Pieter Cruypenninck had behaved well as a koopgesel (apprentice merchant), both in Holland and in Italy. Albert Schuyt (of R 28923 of Montias2) declared that his wife's aunt Constantia Coymans was married to Pieter Cruijpenning's father. Casper Coymans (of R 31693), 66, and Balthasar Coymans, 63, testified to the same effect (NA 200, fol. 516, Not. J.F. Bruyning). On 8 November 1626, Pieter Cruijspenningh and Lucretia Coijmans had their daughter Constantia baptized in the N.K. in the presence of Constantia Coijmans II  (Lucretia's sister) (DTB 40/367). On 8 October 1628, the couple had their twin daughters Isabella and Clara baptized in the O.K. in the presence of Jan van der Poort, and Isabella Coijmans, widow of Jan van Heusden (of R 36233) (DTB 6/218). On 7 September 1631, their son Casper was baptized in the presence of Pieter Luls and Susanna van Valckenburg (see R 31706) (DTB 6/314). In 1631, Pieter Cruijt Penningh, living on O.Z. Voorburchwal (East side), paid a tax of 290 f. (Kohier, fol. 174, p. 40). On 1 May 1633, the son Siprianus of Pieter Cruijpenning and Lucretia Coeymans  was baptized in the O.K. in the presence of Jan van der Poort and Margrita Pelgroms (DTB 6/366). On 14 October 1634, their second daughter Constantia baptized in the O.K. in the presence of Elias de Raet (of R 28395) (DTB 7/61). Lucretia was a witness at the baptism of a child of her sister Isabella Coymans (married to Jan van Heusden) on 22 January 1623 (DTB 6/39). The relation between Pieter Cruypenninck and the art dealer Johannes de Renialme can be traced back at least to 25 June 1635 when  Johannes de Renialme transferred and sold  to Cruypenninck a great leather tannery, a shoe mill, and a stone house located in Sixmilebridge in the county of Thou (now Dare) in Ireland, and a large number of hides for making soles valued at 2,000 f., the whole transaction amounting to 11,000 f.  (NA 642, film 4953, fol. 12). On  12 March 1636 Willem van Tongeren and Pieter Cruypenninck reached an understanding concerning payment of an obligation owed to De Renialme, which Van Tongeren had guaranteed. The obligation, which was now held by Pieter Cruypenninck, was now in default.  Willem van Tongeren paid Cruypenninck 3,740 f. as part of the settlement (NA 413, fol. 216 and fol., Not. N. Jacobs, Extracten). On 11 April 1636, Pieter Cruypenninck,together with 30 other Amsterdam merchants, testified to the credit-worthiness of Adriaen van Ackerlaeck (NA 695A, film 4821, Not. J. Warnaerts).  On 18 April 1637, the honorable Pieter Cruijpenninck, from Hamburg, on one side,  Mathijs Luls, from Acken, on the other, contracted with Hendrick Gysius, from Dantzig, to send to Dantzig all the goods Cruijpenninck and Luls that they could send, which would then be sold. A provision of 2 percent would be retained by the senders (NA 598, fol. 174, Not. Lamberti).  On 5 February 1639, Matheus Luls (Abrahamsz.?) and Matheus Luls Davidsz., merchants, executors of the estate of Abraham Luls (cited in the NOTES to R 21578 of Montias2) acknowledged receiving the sum of 750 f. proceeding from the last repartition of the V.O.C. from Pieter Haen (cited in the NOTES to R 21700) and Pieter Cruijpenning (NA 419A).  He was still alive but indisposed on 15 February 1639 (NA 419A, fol. 205). He died before 3 November 1639, when his widow tried  unsuccessfully to collect a letter of exchange for 1160 f. issued in Pernambuco, Brasil. The answer to the insinuatie was that the debtor had no provision (NA 419B).  On 26 April 1640, the day after this inventory was drawn up at her request, the honorable Lucretia Coijmans, widow and heiress of Pieter Cruijpenningh, merchant in Amsterdam, drew up a procuration whereby Albert van Breugel, bookkeeper general of the W.I.C. in Brasil, was to liquidate in her name and on her behalf, any business she may have had with Sr. Caspar van Heusden, residing in Brasil,  or, in case of his death, to take care of any interests she may have in his estate  (NA 421, Not. J. Jacobs). On 18 March 1650, after the death of Cruypenninck, his widow Lucretia Coymans and Johannes de Renialme signed an agreement to settle their dispute (which had apparently gone before the magistrates in Amsterdam) and to liquidate all the claims Coymans might have had against De Renialme. He agreed to pay her 3,000 f. in three installments. At least some of the debts appeared to have arisen during Cruypenninck's life time. It appears probable that Cruypenninck (and Lucretia Coymans after his death) and De Renialme had some sort of business partnership, perhaps in connection with De Renialme's art dealership (NA 1818, film 2083).   Lambert Massa, merchant and builder, was married to Constantia Dubois. He was the brother of Isaack Massa, whose marriage portrait with Beatrix van der Laan was painted by Frans Hals about 1622. On 1 September 1622, Isaack Massa and Constantia du Bois had their son Lambert baptized in the O.K. in the presence of Pieter Latfeur, the husband of Lucretia's sister Clara (he was the buyer of R 20047). Pieter Latfeur signed the Remonstrant petition of 1628. For further information on Lambert Massa, see the NOTES to R 32152 of Montias2. Guillaum van Hoorn, cited as a witness in the INTRO, was the brother of Jacques van Hoorn of INVNO 110 (see the INTRO to that inventory). He seems to have been related to Lucretia Coymans, to whom he made an interest-free loan of 1,000 Fl. pounds on 17 February 1643 (NA 1811, fol. 1888-9).  Nicolaes Duysendaelders was an attorney who acted as an intermediary in a financial transaction involving Rembrandt in 1654 (Strauss, Rembrandt Documents, pp. 311-312). It is likely that the paintings found in the attic of Lambert Massa's house were actually located on the Keisersgracht (present day no. 104), the house that Massa had built in 1631 or 1632 (see R 32152). On 16 November 1630, the brothers  Lucas, Marcus and Mattheus van Valckenburgh (of R 20483), together with Willem van Welij (of R 21266) and Pieter Cruypenningh,  each of whom was a part-owner of the barrage in Hadfielt Chase in England gave a procuration to Filiberto Venatti to defend their interests there (NA 401, fol. 428, Not.N. Jacobs, Extracten). On the same day, Thijmon Jacobs Hinlopen, for Christina van Ruytenborgh, widow of Jan Michelsz. van Verlaer and the other part-owners mentioned above gave a procuration to Jacob Cats, first Raad and Pensionaris of Dordrecht, and to Marcus van Valckenborgh to defend their interests in the same dam construction (dijckagie) (NA 403, fol. 112, Not. Jacobs, Extracten.) On the witnesses, Guillaume van Hoorn and Nicolaes Duysendaelders, see the NOTES to R 28903 and the TEXT of INVNO 162 respectively.",Inventaris gedaen by my Jacob Jacobsz. ter presentie van de naergenoemde getuygen ten versoecke van Juffr. Lucretia Coymans de naergelate weduwe van Pieter Cleypenning za. ged. van alle de schilderijen ende eenige weynighe meubelen bevonden op de zolder van de huysenge van Lambert Massa toebehorende Johannes de Renialme ende sijn de naervolgende. Postscript: Aldus gedaen binnen Amsterdam ter presentie van Sr. Guillaume van Hoorn ende Nicolaes Duysendaelders als getuygen her overgestaen den xxve aprilis xvi en viertich.,
942,6620,,WK 5073/968,Orphan Chamber,1624/11/06,Gaillard,Amsterdam,50,Nederland,,,1548 |d 1624,1594/05/28,K,,"Gaillard, Anthony, de oude",,Retail merchant |a Clothing,death inventory,Reformed,In de Lange Houtstraet in de Grauwen Hoet in Amsterdam,"This inventory was probably made in preparation for the sale of Anthony Gaillard de oude's possessions on 8 February 1625. For the inventory of that sale, see INVNO 662. For the bio data on Gaillard, see the TEXT of R 561 of Montias1. Note that Jan van Os, cited in the INTRO, the nephew of Anneken Pelgrum, was probably Jan van Os de Oude, the brother of Pelgrom van Os (see the NOTES to R 26894).","Staet ende inventaris van de goederen nagelaten bij Anthony Gaillard de oude, gelyck hy de selve metter doot heeft ontruymt in zyn huyse staende in de Lange Houtstraet genaemt de Graeuwen Hoet in presentie van Anneken Pelgrums syn weduwe ende vergeselschapt met sr. Jan van Os, haren neve, begonnen den 5 november 1624. Postscript: Actum den 6en november 1624 in presentie van Anthony ende Pieter Gaillard, Daniel van Horebeke, de soonen ende swager, Martyntje Gaillard, de dochter van voorsz.  Anthony Gaillard, Sara Waterlo, huysvrouw van de voors. Pieter Gaillard, Nicolas Cocques, als voocht van de onmonige kindt  van Govert Gaillard.",
943,1043,,WK 5073/957,Orphan Chamber,1624/12/30,Jansz.,Amsterdam,2,Nederland,4 |d  13 st.,203 |d  7 st.,,,,,"Jansz., Douwe",,Employee |a Private employer,auction,,Amsterdam,Douwe Jansz. was married to Annetje Lucas (as appears from R 39764 of Montias2). He was a worker in a soap-boiling establishment.,Op den 30en december 1624 zyn vercocht dese naervolgende goederen achtergelaten bij Douwe Jansz. zeepzieders knecht,
944,1044,,WK 5073/960,Orphan Chamber,1629/01/05,Jans,Amsterdam,3,Nederland,4 |d  9 st.,373 |d  6 st.,,,,"goods sold at request of Claes Jacobsz., the stepfather of the child left by Trijn Jans","Jans, Trijn",,,auction,probably Reformed,In de Lindestraet in Amsterdam,"The goods were sold at the request of Claes Jacobsz., the stepfather of the child left by Trijn Jans. The owner of the goods, probably Trijn Jans, possessed a copy of a book by Jan Sleydanus, a Reformed theologian.",Op den 5en januarij 1629 zijn ten versoucke van Claes Jacobsz. als stieffvader en voocht vant nagelaten kindt van Trijn Jans vercoft de naervolgende goederen.,
945,1045,,WK 5073/937,Orphan Chamber,1601/06/22,'t Paert met Bellen,Amsterdam,1,Nederland,4 |d  18 st.,,,,,,"'t Paert met Bellen, Giert",Gerrit Jansz. Block,Retail merchant |a Uitraagster/uitdraager,auction,,Amsterdam,This is the only auction in the data base held to liquidate debts owed to the bode of the Orphan Chamber for goods bought at auction but not paid for. Giert in't Paert met Bellen was a frequent buyer at auction at the turn of the century. She must have been an uitdraagster.,"Op den 22 juny 1601 zyn ten behoeve van Gerrit Jansz. Block bode van de Weescamer over't Giert 't Paert met Bellen ter cause van diversche goederen ende imboel by haer van hem in verscheijde erffhuijsen gecocht ende noch onbetaelt, zynde vercoft 't naevolgende goet toecomende de voors. Paert met Bellen op zes weecken dagh.",
946,1046,,WK 5073/938,Orphan Chamber,1602/02/19,[anonymous],Amsterdam,5,Nederland,3 |d  11 st.,174 |d  19 st.,,,,goods sold at request of Neel Hoochert,[anonymous],Gerrit Jansz. Block,,auction,,In Ruslandt in Amsterdam,"Neel Hoochhert, who lived in Ruslandt, where many uitdraagsters lived, may have been an uitdraagster herself. She is likely to be identical with Hoochert who bought several lots at auction in 1611 (see NOTES to R 31415 of Montias2).",Op den 19 februarry 1602 ten versoeck van Neel Hoochert vercoft t geene volcht op zes weecken dach.,
947,1047,,WK 5073/947,Orphan Chamber,1616/09/29,[anonymous],Amsterdam,5,Nederland,22 |d  16 st.,231 |d  13 st. 8 pen.,,,,goods sold at request of Cornelis Egbertsz. Passement,[anonymous],Gerrit Jacobsz. Haring,,auction,,Amsterdam,,ten selven dage [29 september 1616] ten vrersoeck van Cornelis Egbertsz. Passement vercoft de naervolgende goederen.,
948,1048,,WK 5073/947,Orphan Chamber,1617/02/03,Raets,Amsterdam,9,Nederland,17 |d  7 st.,340 |d  8 st. 8 pen.,,,,,"Raets, Saertge",Gerrit Jacobsz. Herring,,auction,,ten huyse van G. Jacobs in Amsterdam,,Op ten 3en february 1617 zyn vercoft de naervolgende goederen achtergelaten by Saertge Raets.,
949,1050,,WK 5073/947,Orphan Chamber,1617/04/07,Damens,Amsterdam,9,Nederland,48 |d  12 st.,247 |d  8 st.,,,,,"Damens, Belitge",Gerrit Jacobs Haring,,auction,,Op de Grimenessesluijs in Amsterdam,,Op den 7en april 1617 syn dese navolgende goederen vercoft de nagelaten goederen van Belitge Damens.,
950,1051,,WK 5073/947,Orphan Chamber,1617/09/15,Plancius,Amsterdam,1,Nederland,3 |d  10 st.,361 |d  13 st.,,,,,"Plancius, de jonge",Gerrit Jacobsz. Haringh,,auction,Reformed,uts (op de Heeeregraft in Amsterdam),"Who was Plancius de jonge, the owner of the goods sold ? He was presumably a son of Petrus Plancius de oude, Calvinist predikant and geographer, born in French Flanders in 1552 and died in 1622. Petrus Plancius de oude had 7 sons (Daniel, Jeremias, Petrus, Antonius, Isaacus, Jacobus, and (probably) Cornelis (Jaarboek C.B.G. 7(1953), p. 103).  Petrus Plancius de jonge, born in Brussels in 1584, predikant in Diemen in 1610, Sloterdijk in 1613, etc..., died in Kampen in 1651, and thus could not be the owner of these goods. Neither could Isaac, who is known to have married in 1624 (Nederlandsche Leeuw 28(1910), col. 332). This still leaves Daniel, Jeremias, Antonius, Jacobus, and (perhaps) Cornelis. One of the buyers at the sale was Plancius who could also be one of the sons above-listed.",Op den selve dag [15 september 1617] vercoft dese naervolgende goederen achtergelaten by Plancius de jonge,
951,1052,,WK 5073/947,Orphan Chamber,1617/11/08,Fransz.,Amsterdam,4,Nederland,5 |d  3 st.,206 |d  7 st. (household only),,,,,"Fransz., Symon",Gerrit Jacobsz. Haringh,,auction,,Opte Walepadt in Amsterdam,The late Symon Fransz. should not be confused with the lumber dealer of the same name who was active in the 1620s and 1630s (R 20598 of Montias2).,Op den 8en november zyn vercocht de goederen van Symon Fransz. zal.,
952,1053,,WK 5073/944,Orphan Chamber,1611/07/23,Lamberts,Amsterdam,6,Nederland,3 |d  7 st.,268 |d  17 st. 4 st.,,,,,"Lamberts, Styntge",Gerrit Jacobs,,auction,,ten huyse van Gerrit Jacobs in Amsterdam,"The late Styntge Lamberts cannot be identical with the woman of the same name who was probably the aunt of Swaentge Lamberts of INVNO 592, because the latter was still alive two years later (TEXT of R 493).",Op ten 23en july 1611 zyn ter ordonnancie van de heeren weesmeesteren vercoft de goederen achtergelaten by Stytnge Lamberts.,
953,1054,,WK 5073/944,Orphan Chamber,1611/08/20,Willems,Amsterdam,19,Nederland,43 |d  9 st.,724 |d  18 st. 6 pen.,,,,,"Willems, Sanderyn",Gerrit Jacobsz.,,auction,,Op de Oudezyts Voorburchwal by de Leydels sluys in Amsterdam,,Op den 20en augusti 1611 zyn ter ordonnancie van de heeren weesmeesteren vercoft de naervolgende goederen achtergelaten by Sanderyn Willems.,
954,1055,,WK 5073/944,Orphan Chamber,1612/03/08,Ghysbertsz.,Amsterdam,14,Nederland,10 |d  18 st.,654 |d  6 st.,,,,and his wife Neel Huygens,"Ghysbertsz., Jan",Gerrit Jacobsz.,,auction,,By de Haerlemmerspoort in Amsterdam,,Op den 8en marty 1612 syn ter ordonnancie van de heeren weesmeesteren vercoft de goederen achtergelaten by Jan Ghysbertsz. ende Neel Huygens.,
955,1056,,WK 5073/943,Orphan Chamber,1608/11/04,Blocklant,Amsterdam,6,Nederland,5 |d  13 st.,407 |d  3 st. 8 pen.,,,,and his wife Marta Jans,"Blocklant, Marten",Gerrit Jacobsz.,Employee |a City,auction,Roman Catholic,ten huyse van G. Jacobs in Amsterdam,"Before the Alteration, Mr. Marten Blocklandt, pensionaris (of the city of Amsterdam), was cited in the accounts of Pieter Cornelisz. Dubbens (Maandblad Amstelodamum 56(1969), p. 137). In 1585, Mr. Marten Blocklandt paid a tax of 3 f. He came from Montfort and became a citizen of Amsterdam in 1564. He was pensionaris from 1564 to 1578. He was presumably Roman Catholic (Van Dillen, Amsterdam, p. 18). On 4 December 1595, Mr. Marten van Blocklandt, lawyer (rechtgelerde), and Martyntje Jans drew up their testament. They cited Franchoijs van Bloklandt, deceased in Antwerp, their son Assuerus van Blocklandt and their brother-in-law Gerrit van Davelaer, who was married to Maria van Blocklandt, the sister of Marten van Blocklandt (for this relation see the TEXT of INVNO 1030, the inventory of Antoni van Davelaer, the son of Gerrit van Davelaer). They also cited their unmarried daughters Jannetgen and Aeltgen. They stipulated that their goods should be sold at auction (as they eventually were). Martijntje signed with a mark (NA 39, film 41, fol.284, Not. Jacob Gysbrechtsz.)  Christoffel and Jannetje van Blocklandt who bought lots at his sale were their children (R 39852 and R 39855 of Montias2).",Op ten 4en november [1608] syn ter ordonnantie van de heeren weesmeesteren vercoft de goederen achtergelaten by Mr. Marten Blocklant ende Marta Jans zyn huysvrouw.,
956,1057,,WK 5073/955,Orphan Chamber,1618/07/12,Builliu,Amsterdam,7,Nederland,7 |d  13 st.,517 |d  5 st. 10 pen.,,,,,"Builliu, Lijntgen de",Jan Dircx van Beuningen,,auction,,Op de Singel bij de Gasthuijspoort in Amsterdam,"The sale consists of the goods left by Lijntgen de Buillu, whose heirs were the children of Samuel Famael. Neither has been identified.","Goederen achtergelaten by Lijntgen de Builliu, der erffgenamen zijn die kinderen van Samuel Famael",
957,1058,,WK 5073/955,Orphan Chamber,1618/07/12,Andries,Amsterdam,1,Nederland,4 |d ,1341 |d  12 st. 12 pen.,,,,wife of Adriaen de Ridder,"Andries, Elsgen",Jan Dircx van Beuningen,,auction,,Amsterdam,,Op den 12e julij anno 1618 zijn vercocht de goederen achtergelaten bij Elsgen Andries huijsvrou van Adriaen de Ridder,
958,1059,,WK 5073/955,Orphan Chamber,1618/08/10,Souriel,Amsterdam,9,Nederland,7 |d  13 st.,677 |d  6 st. 8 pen.,,,,,"Souriel, Abraham de",Jan Dircx van Beuningen,,auction,,Op de hoeck van de Rheestraet in Amsterdam,,den 10en augusti 1618 [goederen achtergelaten bij] Abraham de Souriel,
959,1060,,WK 5073/955,Orphan Chamber,1618/10/13,Lamberts,Amsterdam,5,Nederland,2 |d  8 st.,209 |d  1 st.,,,,wife of Jacob Symonsz.,"Lamberts, Mary",Jan Dircx van Beuningen,,auction,,Op de Brouwersgracht op de hoeck van de Goutbloemsgracht in Amsterdam,,den 13e october 1618 nagelatene goederen van Mary Lamberts huysvrou van Jacob Symonsz.,
960,1061,,WK 5073/955,Orphan Chamber,1618/11/06,Tacks,Amsterdam,8,Nederland,5 |d  2 st.,498 |d  4 st.,,,,,"Tacks, Lysbeth",Jan Dircx van Beuningen,,auction,,Amsterdam,,den 6en november 1618 zijn vercocht de naegelate goederen van Lysbeth Tacks,
961,947,,WK 5073/949,Orphan Chamber,1624/02/17,Willems,Amsterdam,13,Nederland,23 |d  15 st.,397 |d  16 st.,,,,,"Willems, Annetge",,,auction,,Amsterdam,"Giert Jacobs, the daughter of Annetge Willems, was betrothed to Lambert Fyten (a buyer at R 37308) on 28 May 1622 (DTB 427/151).",Op den 17 february anno 1624 zijn vercocht de naergelaten goederen van Annetge Willems.,
962,1063,,WK 5073/955,Orphan Chamber,1619/04/06,Jans,Amsterdam,2,Nederland,4 |d  1 st.,391 |d  14 st. 4 pen.,,,,,"Jans, Tiet",Jan Dircx van Beuningen,,auction,,In de Slijckstraet in Amsterdam,,6 april 1619 goederen achtergelaten by Tiet Jans,
963,1064,,WK 5073/945,Orphan Chamber,1613/02/27,Jobsz.,Amsterdam,3,Nederland,6 |d  12 st.,157 |d  7 st.,,,,,"Jobsz., Cornelis",Gerrit Jacobsz. Haringh,,auction sale,,Int schans in Amsterdam,,Op den 27en february 1613 zyn ten versoeck van den heeren weesmeesteren vercoft de goederen achtergelaten by Cornelis Jobsz.,
